x,y,y_err
0.0,1.122018454,0.050647986
0.93483,0.986279486,0.054511388
3.95792,1.054872571,0.050531165
4.01101,1.042317429,0.057608589
4.0283,0.958517398,0.048563518
4.93394,0.992658807,0.047550963
5.92201,1.017653663,0.055308269
6.96381,0.949729657,0.041996311
7.93506,1.058766033,0.05364264
8.92993,1.019529978,0.045082827
9.97432,1.010182871,0.048390411
10.92939,0.920449572,0.043244345
11.93621,0.97543874,0.056607104
12.99087,0.992658807,0.043894605
13.93957,1.006468066,0.051919791
14.92531,1.034665576,0.054327205
15.96022,1.019529978,0.044144014
16.92637,1.019529978,0.044144014
17.93641,1.007395485,0.048256888
18.93766,1.110708256,0.063434256
19.98923,0.981747943,0.038892113
20.92416,0.909494339,0.046079753
21.90467,1.072506666,0.053351163
22.04953,0.992658807,0.050293301
22.90581,1.078449963,0.057619331
23.90782,0.951480736,0.055216762
24.9035,1.021409752,0.061156191
25.03292,0.970957007,0.049193774
25.89471,1.074484117,0.06235495
26.96434,1.028963572,0.0426575
27.89769,1.022350939,0.05556356
31.96784,1.077457131,0.084357686
32.97578,1.129275744,0.047855968
33.87895,1.002766923,0.04711176
33.89315,0.983558056,0.04530358
33.91635,0.940156169,0.035513107
33.93022,0.923846888,0.03319579
33.95355,1.102554332,0.034541593
33.96761,0.974540742,0.035017328
33.9836,1.007395485,0.038980556
33.99772,0.966495864,0.032948524
34.02292,1.049059208,0.03479731
34.03872,1.03086074,0.034193666
34.87991,1.039441375,0.040220553
34.89461,1.038484455,0.044008454
34.91826,1.021409752,0.037641883
34.9331,0.964717152,0.039105738
34.95673,0.981747943,0.038892113
34.97105,0.977237221,0.039613251
34.9947,1.021409752,0.035760996
35.0092,0.982652583,0.037118351
35.03415,1.050025872,0.040630113
35.04821,1.065614202,0.037308656
35.92416,1.018591388,0.039413775
35.93821,1.032761406,0.038060225
35.95865,1.041357862,0.034541856
35.97268,0.993573501,0.03387162
35.99608,1.013911386,0.031764525
36.01045,0.977237221,0.032414973
36.03586,1.048093433,0.041520401
36.89152,1.039441375,0.043091876
36.91728,0.957634977,0.04410954
36.93152,0.970957007,0.042040882
36.95531,1.007395485,0.036197869
36.96942,0.94362622,0.038250797
36.9931,1.053901445,0.033987633
37.00745,0.969170084,0.034824349
37.03228,1.027069896,0.034067924
37.04638,1.037528416,0.043012571
37.91821,1.107643492,0.038780161
37.93234,0.998159627,0.040461361
37.95604,1.056817509,0.042839115
37.97008,0.970063134,0.042002179
37.99396,0.996322642,0.036717351
38.0083,1.024235914,0.032087979
38.03348,0.990831945,0.037427315
38.04781,0.928111171,0.041040358
38.87917,0.960284679,0.038041843
38.90267,0.962055219,0.041655449
38.94041,1.041357862,0.031665688
38.95452,1.077457131,0.036731272
39.01657,0.8456682,0.033501291
39.03293,0.903649474,0.037462383
39.9738,1.003690931,0.040685578
39.98793,0.972747224,0.03674419
40.01286,0.99907939,0.03865877
40.02858,1.0,0.042377576
40.05232,1.033713052,0.042854398
40.88363,1.045201441,0.044293103
40.90728,1.011113712,0.054021696
40.92128,0.952357486,0.042989479
40.94461,0.970063134,0.042002179
40.95859,1.021409752,0.042344343
40.98213,0.980844136,0.046985009
40.99684,0.95411341,0.064156296
41.02204,0.94362622,0.049547
41.03706,1.063653075,0.067603686
43.03001,0.883893622,0.04559665
43.04456,0.979039017,0.045996981
43.86768,0.995405417,0.055932453
43.88159,1.006468066,0.050992951
43.90697,0.946237161,0.046198603
45.81724,0.908657049,0.0468741
45.84042,1.021409752,0.040463323
45.85433,1.032761406,0.039011143
45.9045,1.012045411,0.039160483
45.91865,1.048093433,0.036695229
45.96759,1.028963572,0.034130737
45.98191,1.022350939,0.035793948
46.00673,0.978137704,0.036947808
46.02181,0.987188301,0.035471782
46.04568,1.024235914,0.034916923
46.05982,0.977237221,0.039613251
46.83014,0.895364766,0.043714835
46.84415,0.95411341,0.043947333
46.8937,0.97543874,0.040438534
46.93132,1.019529978,0.036633887
46.95508,0.964717152,0.036440865
46.96934,0.971851703,0.041184719
46.9938,0.982652583,0.03621357
47.01052,0.998159627,0.038623181
47.03399,1.0,0.035932134
47.04815,1.041357862,0.03741821
47.82142,1.025179705,0.050052853
47.86016,0.887156012,0.048215876
47.88329,0.983558056,0.047115013
47.92144,1.044239219,0.037521743
47.9448,0.982652583,0.037118351
47.95891,1.014845663,0.03646557
47.98269,1.034665576,0.034319873
47.99868,0.925550245,0.038370318
48.03464,0.958517398,0.037971831
48.83209,0.925550245,0.052007247
48.87315,0.978137704,0.045954636
48.92505,1.036573257,0.047745509
48.94361,1.028016298,0.038831903
48.96746,1.066596121,0.037343034
48.98735,1.018591388,0.042227503
49.01213,1.012045411,0.040092353
49.02632,0.979941161,0.04062519
49.0497,1.012045411,0.038228625
49.0636,1.017653663,0.045936953
49.81707,1.067578945,0.056055388
49.85401,0.991744955,0.049333723
49.90092,0.979039017,0.047800104
49.91027,0.896189807,0.044580393
49.9633,1.118922482,0.041235508
49.99119,1.019529978,0.033817825
50.00956,0.925550245,0.031552659
50.02359,0.969170084,0.042855952
50.04708,1.039441375,0.038306401
50.06105,0.993573501,0.043935052
50.93733,1.048093433,0.046345881
50.95403,1.032761406,0.040913021
50.99519,1.027069896,0.04447048
51.01018,0.939290652,0.041534706
51.04058,0.926403101,0.04693644
51.05498,1.009252886,0.047416482
51.84314,1.046164551,0.057821219
51.87866,1.050993427,0.057120245
51.89256,1.024235914,0.048120411
51.91967,1.041357862,0.055637578
51.93502,1.028963572,0.057818106
51.95909,0.903649474,0.050776629
51.97487,1.026124365,0.049154051
52.00332,0.949729657,0.050742074
52.01967,0.963829024,0.051495374
52.04292,1.003690931,0.04807943
52.05685,0.993573501,0.050339644
52.90255,0.988097954,0.071901436
52.9274,1.058766033,0.059492725
52.94145,0.886339287,0.063680428
52.96641,0.982652583,0.064265383
52.98153,0.982652583,0.0561208
53.00663,0.958517398,0.06092147
53.0208,0.958517398,0.05827328
53.04441,0.979039017,0.067635631
53.05833,0.96738645,0.059703371
53.81516,1.041357862,0.072899888
53.83119,1.086425624,0.066049489
53.85761,1.104587184,0.064101905
53.87154,1.052931213,0.059164863
53.89728,1.025179705,0.049108799
53.91153,1.066596121,0.051092754
53.93483,1.026124365,0.049154051
53.95506,1.00461579,0.045348422
53.99265,0.898669495,0.057117656
54.00649,1.018591388,0.056297258
54.0298,1.041357862,0.052760651
54.04389,0.97364357,0.053813005
54.06717,0.87821328,0.066331806
54.78537,0.890430444,0.098417427
54.82021,0.937562007,0.07599524
54.83407,0.960284679,0.072530693
54.86813,0.97364357,0.075333083
54.88203,0.997240712,0.061545861
54.90564,0.976337567,0.066549845
54.91959,0.867760745,0.060747284
54.94341,1.066596121,0.050110568
54.95752,0.960284679,0.061918158
54.98334,0.983558056,0.062513005
54.99758,1.084426196,0.070921367
55.02572,1.008323758,0.072444592
55.03959,1.013911386,0.087786575
55.06302,0.935836544,0.091369421
55.82911,1.012045411,0.073644033
55.84773,1.020469432,0.077076471
55.87412,1.086425624,0.080057052
55.89079,1.052931213,0.075649484
55.91395,1.0,0.081056228
55.92781,0.87821328,0.075228731
55.95314,1.114807803,0.079068414
55.97167,0.94362622,0.073879621
56.00832,0.97543874,0.088947353
